mobile_number,churn_probability,risk_level,advice
7002266679,0.9999960422515869,🔴 Critical,Imminent churn — immediate intervention required.
7000946283,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7000586132,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001834935,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001289763,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7002123102,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001490816,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7000705338,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001306140,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001003545,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7002215008,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001473700,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7002112430,0.9999959230422973,🔴 Critical,Imminent churn — immediate intervention required.
7001610706,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002300810,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002050057,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7001372246,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002249032,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7001602861,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7000235793,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002258065,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002225938,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7001413771,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7000149439,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7001027704,0.9999958634376526,🔴 Critical,Imminent churn — immediate intervention required.
7002306174,0.9999958038330078,🔴 Critical,Imminent churn — immediate intervention required.
7001111573,0.9999958038330078,🔴 Critical,Imminent churn — immediate intervention required.
7001884125,0.9999958038330078,🔴 Critical,Imminent churn — immediate intervention required.
7000895969,0.9999958038330078,🔴 Critical,Imminent churn — immediate intervention required.
7000244615,0.9999958038330078,🔴 Critical,Imminent churn — immediate intervention required.
7001339642,0.999995744228363,🔴 Critical,Imminent churn — immediate intervention required.
7002075286,0.999995744228363,🔴 Critical,Imminent churn — immediate intervention required.
